Lap number,Time (s),Distance (m),Lap distance (m),CdA (m²),Drag (N),Power (W),Left pedal power (W),Right pedal power (W),Cadence (RPM),Total weight (g),Weight on left pedal (g),Weight on right pedal (g),Weight on handlebar (g),Weight on saddle (g),Left pedal drag force (N),Right pedal drag force (N),Handlebar drag force (N),Saddle drag force (N),Handlebar roll moment (Nm),Saddle roll moment (Nm),Handlebar pitch moment (Nm),Saddle pitch moment (Nm),Left pedal crank angle (deg),Ground speed (m/s),Air speed (m/s)
1.0,22.8,477.1,251.1,0.278,-20.026,293.876,154.628,139.248,85.912,79599.827,17898.644,17451.284,13509.33,30747.457,-31.066,-26.695,26.393,11.135,0.532,-1.066,5.208,10.15,180.673,11.013,11.255
2.0,20.6,725.6,248.3,0.177,-15.716,305.407,158.75,146.656,92.711,83543.611,16814.445,16671.427,16426.742,33739.504,-31.467,-33.208,28.983,19.893,0.092,-1.176,6.83,12.721,179.92,12.059,12.279
3.0,20.6,975.2,249.6,0.169,-15.135,284.704,147.71,136.994,93.141,83692.734,15938.067,15816.239,16909.443,35033.901,-33.231,-34.619,31.061,21.431,-0.023,-1.134,8.456,14.437,179.953,12.12,12.3
4.0,20.6,1225.1,249.8,0.181,-16.129,286.86,146.08,140.78,93.217,83653.864,15992.469,15830.58,17031.964,34799.806,-33.284,-35.292,27.114,25.63,-0.074,-1.102,7.902,16.233,179.915,12.131,12.256
5.0,20.4,1475.9,250.6,0.175,-15.548,295.853,151.516,144.336,93.668,83794.863,15927.906,16067.339,16892.466,34868.526,-34.135,-35.599,24.913,29.385,0.1,-1.163,7.929,17.301,180.143,12.223,12.282
6.0,20.6,1727.5,251.5,0.17,-15.297,286.108,144.18,141.928,93.841,83821.756,15899.742,15360.437,17341.666,35203.738,-35.073,-35.542,25.626,29.76,0.116,-1.046,8.099,17.953,180.398,12.214,12.29
7.0,20.4,1978.0,250.5,0.167,-14.786,290.85,146.055,144.795,93.599,83761.942,15787.095,15509.561,17430.955,35045.815,-33.005,-36.045,22.369,31.829,0.099,-1.079,7.229,18.276,179.523,12.193,12.222
8.0,20.4,2229.3,251.1,0.167,-15.084,305.506,153.345,152.16,94.622,83994.366,16380.95,15603.023,17749.948,34284.744,-32.971,-33.83,18.907,32.803,0.29,-1.047,6.161,18.407,180.569,12.314,12.361
9.0,20.4,2478.7,249.3,0.158,-14.192,285.711,144.434,141.277,93.965,83860.356,15811.281,15428.109,17855.915,34759.435,-33.673,-34.562,21.232,32.81,0.318,-1.14,6.98,18.928,180.041,12.23,12.293
10.0,20.2,2727.3,248.5,0.157,-14.082,300.405,152.569,147.836,94.408,83958.154,15727.59,15976.929,17978.347,34243.242,-33.89,-34.106,20.226,33.633,0.413,-1.208,5.637,19.393,179.855,12.286,12.313
11.0,20.2,2978.1,250.6,0.14,-12.683,289.366,146.893,142.472,94.72,84055.827,15386.496,15340.764,18590.932,34744.237,-34.256,-33.202,21.16,33.678,0.845,-1.243,6.725,20.026,180.174,12.33,12.371
12.0,31.6,3227.5,249.3,1.632,-35.695,45.051,24.366,20.685,59.71,64579.29,9678.225,9601.545,5987.557,38228.734,-23.307,-23.419,14.564,-3.28,0.626,-0.431,2.398,12.657,181.793,7.917,7.63
