Lap number,Time (s),Distance (m),Lap distance (m),CdA (m²),Drag (N),Power (W),Left pedal power (W),Right pedal power (W),Cadence (RPM),Total weight (g),Weight on left pedal (g),Weight on right pedal (g),Weight on handlebar (g),Weight on saddle (g),Left pedal drag force (N),Right pedal drag force (N),Handlebar drag force (N),Saddle drag force (N),Handlebar roll moment (Nm),Saddle roll moment (Nm),Handlebar pitch moment (Nm),Saddle pitch moment (Nm),Left pedal crank angle (deg),Ground speed (m/s),Air speed (m/s)
1.0,21.2,739.5,258.1,0.188,-15.285,282.525,147.872,134.654,90.672,82943.937,15872.746,16415.261,17637.259,33077.065,-33.036,-31.063,21.4,27.484,-1.326,-1.067,7.81,18.104,180.444,11.893,11.804
2.0,20.8,989.6,249.9,0.177,-14.882,276.918,141.163,135.755,92.444,83383.748,15427.104,15610.116,18476.767,33885.353,-32.88,-31.748,22.353,27.508,-0.493,-0.999,8.894,19.79,179.767,12.02,11.997
3.0,20.8,1244.9,255.2,0.169,-14.417,273.433,137.158,136.275,92.864,83494.617,15151.852,15397.277,18719.314,34097.853,-33.321,-33.459,23.596,28.68,-0.331,-1.022,8.788,21.021,179.354,12.065,12.038
4.0,20.6,1498.1,253.0,0.177,-15.09,277.947,137.511,140.436,92.931,83551.015,15493.631,15610.745,18761.319,33719.039,-32.89,-32.148,23.764,26.215,-0.366,-0.883,8.599,20.392,179.813,12.112,12.027
5.0,20.6,1752.4,254.2,0.173,-14.819,285.271,140.004,145.267,93.4,83676.303,15773.897,15776.941,18447.304,33628.934,-33.232,-33.397,24.11,27.578,-0.451,-0.85,8.287,20.556,180.087,12.185,12.064
6.0,20.4,2008.1,255.5,0.164,-14.277,278.971,138.094,140.877,93.988,83782.619,15066.707,15683.401,18888.45,34196.039,-35.561,-34.476,29.773,26.031,0.184,-0.951,8.936,22.036,179.789,12.211,12.149
7.0,20.4,2256.2,248.0,0.157,-13.488,269.789,134.859,134.929,93.52,83707.894,14695.239,15530.654,19606.736,33964.499,-34.92,-32.916,31.804,22.741,0.125,-0.888,8.155,21.542,180.779,12.163,12.084
8.0,20.6,2510.3,254.0,0.156,-13.308,279.749,140.209,139.54,93.291,83662.83,15103.246,16220.905,19538.759,32815.674,-33.116,-31.31,29.067,21.866,0.098,-0.79,6.775,20.243,179.968,12.32,12.053
9.0,20.4,2760.0,249.5,0.151,-13.13,286.286,144.116,142.171,94.112,83872.863,15131.201,16244.841,19623.464,32891.421,-33.233,-31.049,29.347,21.862,0.226,-0.796,6.602,20.424,179.94,12.239,12.159
10.0,20.6,3013.1,253.0,0.152,-13.032,275.735,137.825,137.91,93.717,83713.281,14768.908,15853.285,20143.864,32884.284,-33.341,-31.738,28.512,23.628,0.078,-0.822,5.745,21.199,179.622,12.37,12.081
11.0,21.2,3263.8,250.6,0.182,-8.656,187.592,94.893,92.699,90.675,82898.53,13164.415,13666.307,20864.305,35164.838,-35.661,-34.839,44.636,17.154,0.688,-0.934,7.851,22.041,180.444,11.828,8.78
12.0,21.0,3516.2,252.3,0.278,-8.272,198.092,100.324,97.768,89.572,82994.507,13882.531,14307.77,20292.689,34492.75,-36.128,-36.65,45.583,18.864,0.084,-1.085,8.672,22.376,178.785,12.095,7.656
13.0,19.8,3767.2,250.8,0.327,-10.934,242.39,121.168,121.223,97.407,84650.804,14047.634,14543.768,20845.915,35292.559,-38.34,-37.709,45.186,20.119,0.629,-1.085,8.39,23.995,180.877,12.643,7.826
14.0,19.2,4017.1,249.8,0.341,-10.933,225.38,113.366,112.013,100.034,85692.598,13839.046,14532.414,21899.608,35412.241,-38.578,-38.337,48.652,17.29,0.529,-1.147,8.582,24.571,180.506,13.018,7.413
15.0,19.2,4271.7,254.4,0.302,-10.307,217.638,109.005,108.632,100.211,85730.7,13994.247,14503.339,21469.74,35730.416,-37.486,-36.409,39.366,24.508,0.951,-1.069,6.735,21.948,180.592,13.053,7.717
16.0,19.2,4524.7,252.9,0.285,-11.271,233.989,116.145,117.844,100.458,85759.609,14243.539,15250.61,21118.901,35255.615,-38.132,-37.29,42.954,21.004,0.847,-1.184,7.156,22.412,180.386,13.101,8.423
17.0,19.0,4779.5,254.6,0.348,-11.647,230.351,112.713,117.639,101.383,86084.888,14019.087,14424.096,22226.726,35448.067,-35.497,-34.921,44.155,14.618,0.58,-1.107,7.066,21.887,179.602,13.168,7.946
18.0,19.0,5029.8,250.1,0.334,-11.196,226.388,109.104,117.284,101.222,86131.369,14211.701,14762.271,22546.659,34601.571,-35.063,-35.027,42.697,16.052,0.526,-1.054,6.025,21.901,180.313,13.171,8.121
19.0,19.0,5282.2,252.4,0.265,-12.013,255.597,120.977,134.62,102.144,86597.157,14836.445,15243.179,22353.52,33903.7,-34.248,-35.125,41.212,16.496,0.192,-1.169,6.328,22.037,179.91,13.289,9.144
20.0,18.8,5531.4,249.0,0.263,-12.469,237.418,115.047,122.37,101.855,86405.333,14624.748,14788.367,22957.464,33991.479,-34.954,-33.56,41.108,14.619,0.189,-1.18,5.793,22.339,179.47,13.252,9.323
21.0,19.0,5783.4,251.9,0.249,-12.49,252.533,121.283,131.25,101.921,86293.487,14665.091,15096.481,22684.964,33968.422,-35.019,-33.92,43.517,13.162,0.157,-1.187,6.417,22.399,180.763,13.263,9.516
22.0,18.6,6032.9,249.4,0.281,-11.6,262.302,123.463,138.838,103.098,86780.251,14858.684,15336.851,22947.317,33752.79,-35.176,-34.82,43.971,14.501,0.201,-1.219,7.09,23.131,179.868,13.415,9.42
23.0,27.2,6286.4,253.4,1.317,-42.216,48.435,22.336,26.098,59.688,63628.872,9835.922,9856.332,5155.783,37049.211,-22.885,-20.372,11.665,-12.597,0.853,-0.262,0.611,8.407,172.421,9.349,8.963
