Lap number,Time (s),Distance (m),Lap distance (m),CdA (m²),Drag (N),Power (W),Left pedal power (W),Right pedal power (W),Cadence (RPM),Total weight (g),Weight on left pedal (g),Weight on right pedal (g),Weight on handlebar (g),Weight on saddle (g),Left pedal drag force (N),Right pedal drag force (N),Handlebar drag force (N),Saddle drag force (N),Handlebar roll moment (Nm),Saddle roll moment (Nm),Handlebar pitch moment (Nm),Saddle pitch moment (Nm),Left pedal crank angle (deg),Ground speed (m/s),Air speed (m/s)
1.0,23.6,476.2,252.2,0.204,-13.661,267.005,136.206,130.799,81.638,81132.403,17326.98,17409.436,17614.468,28806.83,-21.147,-22.081,19.35,10.146,-0.911,-0.675,4.994,11.259,180.014,10.592,10.799
2.0,21.8,728.9,252.5,0.196,-15.416,269.416,135.864,133.551,88.471,82665.878,16488.477,16123.762,18342.881,31623.498,-25.033,-27.587,18.179,18.983,-1.456,-0.777,6.201,15.951,179.894,11.508,11.609
3.0,21.0,979.0,250.0,0.189,-15.555,278.416,137.372,141.044,90.908,83329.489,15829.775,15653.095,18832.132,33134.269,-27.732,-26.924,17.605,21.456,-0.92,-0.916,6.55,17.916,180.806,11.807,11.845
4.0,21.2,1230.1,251.0,0.181,-14.967,268.637,132.193,136.444,91.141,83353.089,15175.797,15019.595,19073.588,34002.482,-28.551,-28.877,18.689,24.04,-0.666,-0.809,6.927,19.767,179.49,11.844,11.867
5.0,21.2,1481.9,251.7,0.172,-13.963,258.908,126.752,132.156,90.637,83213.371,15195.452,14860.999,19072.672,34072.438,-28.529,-29.55,21.351,22.767,-0.598,-0.79,7.449,19.735,180.209,11.938,11.758
6.0,21.2,1737.7,255.7,0.175,-14.115,262.508,128.189,134.319,90.552,83217.259,15240.713,14936.632,19082.2,33958.79,-27.977,-27.871,17.455,24.291,-0.872,-0.735,5.564,18.163,179.749,11.748,11.718
7.0,21.0,1988.3,250.5,0.167,-13.628,272.85,133.721,139.129,91.059,83300.373,15364.283,15312.232,19026.953,33597.785,-29.346,-27.91,16.436,26.986,-0.927,-0.747,5.076,19.302,180.394,11.855,11.778
8.0,21.0,2243.0,254.6,0.162,-13.461,268.174,131.159,137.016,91.813,83516.286,15243.878,15442.218,19481.514,33392.062,-28.296,-28.501,18.477,25.251,-0.837,-0.617,4.708,18.684,179.87,11.985,11.856
9.0,21.0,2496.3,253.1,0.151,-12.29,264.112,131.888,132.224,91.258,83357.872,14792.787,15223.834,19538.888,33757.584,-29.296,-27.579,19.773,24.634,-0.56,-0.652,4.133,18.617,179.974,11.836,11.78
10.0,21.0,2749.5,253.1,0.16,-13.111,265.611,133.431,132.18,91.262,83368.592,14977.364,15271.611,20000.758,33082.727,-29.081,-26.346,17.227,25.027,-0.815,-0.707,2.598,18.737,179.791,11.884,11.788
11.0,21.2,3002.1,252.5,0.16,-13.044,262.828,130.814,132.015,90.921,83254.744,15016.583,15309.963,20084.08,32886.856,-29.556,-26.193,17.398,25.421,-0.741,-0.658,2.748,18.717,180.345,11.804,11.732
12.0,21.4,3250.3,248.1,0.15,-11.731,228.278,115.11,113.168,89.227,82845.809,14041.447,14335.86,21275.03,33224.799,-28.645,-25.416,23.162,19.225,-1.165,-0.533,1.252,17.725,179.934,11.599,11.487
13.0,22.0,3499.5,249.1,0.154,-11.407,229.397,116.719,112.678,87.168,82311.103,14340.677,14453.554,20463.374,33095.941,-28.256,-24.328,24.112,16.933,-0.848,-0.738,1.847,16.015,179.956,11.328,11.201
14.0,22.0,3758.7,259.1,0.166,-12.393,246.382,125.617,120.765,87.724,82347.648,14809.883,15111.912,20038.552,32283.299,-27.95,-25.34,21.248,19.659,-0.478,-0.784,2.233,16.73,179.708,11.441,11.296
15.0,21.6,4009.1,250.3,0.168,-12.741,242.204,122.377,119.827,88.477,82572.682,14757.714,14796.921,20631.165,32420.932,-28.631,-24.383,21.879,18.377,-0.564,-0.696,1.429,16.674,180.153,11.504,11.373
16.0,21.6,4264.0,254.8,0.163,-12.608,252.49,126.462,126.028,89.327,82757.398,15046.517,15276.37,20585.352,31820.391,-27.502,-24.181,21.47,17.837,-0.485,-0.597,1.697,16.28,180.044,11.625,11.505
17.0,21.4,4517.2,253.1,0.159,-12.35,249.891,124.673,125.218,89.539,82878.179,14932.017,15510.301,21056.612,31351.075,-27.556,-23.097,20.204,18.021,-0.412,-0.656,0.796,16.138,180.336,11.648,11.507
18.0,21.4,4767.0,249.6,0.156,-12.231,252.18,124.882,127.298,89.792,82853.379,15165.308,15453.844,20897.916,31360.743,-27.539,-23.863,21.277,17.84,-0.28,-0.668,1.315,16.385,180.564,11.669,11.554
19.0,21.2,5020.7,253.6,0.165,-13.17,263.089,129.84,133.249,90.59,83101.653,15329.274,15828.144,20889.641,31062.376,-27.607,-22.489,18.518,18.476,-0.247,-0.661,1.264,16.258,180.3,11.8,11.649
20.0,20.8,5271.9,251.1,0.156,-12.875,276.554,136.467,140.087,92.164,83517.584,15471.933,15917.643,20755.145,31354.982,-28.778,-23.217,18.609,20.256,-0.407,-0.606,1.335,16.802,180.444,11.959,11.886
21.0,20.6,5524.0,252.0,0.166,-13.808,269.049,131.833,137.216,92.605,83673.367,15299.953,15649.801,21031.169,31803.0,-28.786,-23.526,19.685,18.816,-0.07,-0.589,1.686,16.997,180.505,12.197,11.93
22.0,20.6,5775.9,251.8,0.169,-14.282,282.869,138.699,144.169,93.302,83805.063,15427.7,16175.73,21049.532,31199.04,-27.558,-23.606,16.5,20.487,-0.299,-0.571,1.255,17.221,180.293,12.143,12.026
23.0,20.8,6027.7,251.7,0.152,-12.864,272.443,134.775,137.668,93.158,83667.816,15244.88,15774.88,21218.701,31341.363,-27.825,-23.36,17.042,21.662,-0.151,-0.593,0.885,17.222,179.817,12.105,12.015
24.0,20.6,6282.8,255.0,0.157,-13.278,270.445,133.584,136.861,92.966,83752.912,14839.802,15406.642,21395.554,32051.245,-28.233,-23.092,17.519,20.236,-0.362,-0.49,1.147,17.535,180.089,12.355,11.971
25.0,20.6,6536.5,253.6,0.153,-12.937,278.811,137.345,141.466,93.186,83742.708,15320.039,15647.957,20792.373,32002.761,-29.111,-24.061,17.969,22.055,0.071,-0.593,1.709,17.946,180.083,12.126,12.011
26.0,20.2,6787.5,250.9,0.147,-12.876,293.26,143.882,149.378,94.805,84203.101,15346.108,15911.337,20811.197,32193.104,-30.133,-24.993,16.355,25.933,0.128,-0.672,1.469,18.824,180.272,12.307,12.228
