Lap number,Time (s),Distance (m),Lap distance (m),CdA (m²),Drag (N),Power (W),Left pedal power (W),Right pedal power (W),Cadence (RPM),Total weight (g),Weight on left pedal (g),Weight on right pedal (g),Weight on handlebar (g),Weight on saddle (g),Left pedal drag force (N),Right pedal drag force (N),Handlebar drag force (N),Saddle drag force (N),Handlebar roll moment (Nm),Saddle roll moment (Nm),Handlebar pitch moment (Nm),Saddle pitch moment (Nm),Left pedal crank angle (deg),Ground speed (m/s),Air speed (m/s)
1.0,22.4,480.1,252.2,0.199,-14.53,315.612,163.3,152.312,85.906,81848.975,17368.709,17387.241,16125.043,31065.027,-25.501,-27.245,20.623,17.312,-0.43,-0.984,7.901,13.796,180.116,11.157,11.321
2.0,21.0,731.1,250.9,0.175,-14.695,286.193,146.362,139.831,91.112,83273.961,15647.695,15434.034,17595.505,34589.379,-30.788,-31.395,26.36,21.349,-0.704,-1.115,9.466,17.614,180.588,11.852,11.954
3.0,21.2,983.4,252.1,0.163,-13.522,275.835,138.274,137.561,90.694,83165.726,15411.153,14880.973,17534.492,35329.106,-32.004,-31.985,24.667,26.008,-0.621,-1.072,10.785,19.522,180.373,11.818,11.846
4.0,21.4,1238.0,254.5,0.164,-13.338,271.118,135.719,135.399,89.945,82836.441,15175.859,14793.881,17994.389,34891.996,-30.859,-31.585,21.218,27.805,-0.037,-0.978,9.759,20.313,180.293,11.732,11.726
5.0,21.2,1489.6,251.4,0.163,-13.38,275.632,135.424,140.208,90.432,83015.286,15375.418,15093.795,17613.424,34907.411,-32.877,-33.716,23.059,30.177,-0.178,-0.97,9.762,21.193,179.661,11.745,11.785
6.0,21.2,1743.5,253.8,0.168,-13.709,277.053,138.212,138.841,90.509,83035.327,15330.872,15124.437,17621.945,34929.571,-34.935,-34.07,22.524,32.606,-0.327,-0.923,8.988,22.245,179.782,11.968,11.786
7.0,21.0,1991.4,247.8,0.165,-13.643,272.652,135.834,136.818,90.706,83091.691,14785.841,15051.869,18051.218,35277.665,-36.359,-34.606,24.514,32.826,-0.04,-0.848,8.877,23.111,180.553,11.807,11.809
8.0,21.2,2250.3,258.8,0.161,-13.273,277.309,137.621,139.688,90.804,83056.925,15461.778,15177.684,17911.708,34424.123,-35.51,-35.402,25.356,32.282,-0.32,-0.753,8.775,22.836,180.497,12.014,11.799
9.0,21.0,2501.2,250.8,0.162,-13.438,274.15,135.436,138.714,91.03,83174.895,15230.442,14933.104,18654.512,34440.267,-34.946,-33.023,27.879,26.811,-0.186,-0.799,8.35,22.04,180.463,11.851,11.834
10.0,20.8,2754.3,253.0,0.156,-13.134,286.41,142.268,144.142,91.941,83402.285,15379.712,15510.149,18567.318,33958.483,-35.744,-33.76,27.533,28.656,0.215,-0.844,7.479,22.58,179.968,12.008,11.948
11.0,20.8,3008.7,254.4,0.151,-12.929,277.159,138.338,138.821,92.448,83522.422,15117.775,15424.633,19402.853,33519.441,-35.574,-32.593,25.487,29.901,0.335,-0.863,7.25,23.098,180.373,12.011,12.017
