Lap number,Time (s),Distance (m),Lap distance (m),CdA (m²),Drag (N),Power (W),Left pedal power (W),Right pedal power (W),Cadence (RPM),Total weight (g),Weight on left pedal (g),Weight on right pedal (g),Weight on handlebar (g),Weight on saddle (g),Left pedal drag force (N),Right pedal drag force (N),Handlebar drag force (N),Saddle drag force (N),Handlebar roll moment (Nm),Saddle roll moment (Nm),Handlebar pitch moment (Nm),Saddle pitch moment (Nm),Left pedal crank angle (deg),Ground speed (m/s),Air speed (m/s)
1.0,22.8,474.8,249.6,0.211,-15.011,280.659,142.58,138.079,84.237,81532.575,16789.291,16448.868,17120.218,31259.891,-26.244,-26.843,20.775,17.487,-0.61,-1.059,7.0,13.833,180.297,10.949,11.078
2.0,21.6,727.5,252.6,0.179,-14.324,283.157,145.799,137.358,89.193,82731.046,16007.695,15914.16,17166.564,33643.83,-31.065,-33.515,24.574,25.63,-0.1,-1.097,8.193,18.405,180.334,11.599,11.679
3.0,21.2,977.5,249.9,0.181,-14.864,282.372,140.706,141.666,90.647,83114.62,15703.739,15489.888,17749.508,34240.515,-31.942,-33.576,24.508,26.279,0.251,-1.12,8.741,19.99,180.298,11.818,11.829
4.0,21.2,1227.6,250.0,0.167,-13.744,273.469,134.69,138.779,90.689,83121.305,15448.415,14822.117,17972.91,34871.342,-32.823,-34.054,26.752,26.484,0.496,-1.154,9.339,21.013,180.244,11.799,11.825
5.0,21.0,1476.6,248.9,0.169,-13.98,279.838,138.222,141.616,91.127,83283.415,15424.156,15153.607,18124.489,34541.381,-33.292,-33.276,26.101,26.341,-0.063,-1.099,9.243,21.179,180.078,11.856,11.863
6.0,21.2,1726.6,249.8,0.163,-13.422,266.074,132.05,134.023,90.616,83150.49,15172.927,14728.834,18362.029,34861.866,-33.806,-33.703,25.979,28.28,0.049,-1.031,9.666,22.041,180.184,11.792,11.788
7.0,21.2,1979.2,252.5,0.162,-13.092,267.54,132.493,135.047,90.029,82942.958,15205.862,14849.254,18418.326,34453.579,-34.306,-33.354,25.74,28.509,0.369,-1.032,8.643,22.112,180.324,11.737,11.686
8.0,21.2,2234.7,255.5,0.169,-13.708,271.647,136.477,135.169,90.37,82968.914,15095.76,14855.57,18794.474,34246.203,-33.156,-32.768,25.709,26.431,0.474,-1.0,7.757,21.897,179.888,11.973,11.743
9.0,20.8,2487.8,253.0,0.161,-13.604,290.558,145.18,145.377,91.977,83389.365,15622.698,15629.338,18461.862,33746.766,-34.855,-33.001,25.77,28.634,0.51,-1.163,7.908,22.11,180.521,12.156,11.95
10.0,20.6,2739.5,251.6,0.172,-14.93,290.732,143.187,147.545,93.113,83694.037,15219.164,15413.451,18976.499,34082.203,-35.466,-32.676,26.861,26.343,0.624,-1.24,7.338,22.381,180.528,12.151,12.126
11.0,20.8,2989.8,250.1,0.158,-13.47,274.424,135.738,138.686,92.438,83519.643,15088.376,15133.261,19544.731,33699.632,-35.505,-31.988,25.636,28.453,0.535,-1.133,7.054,22.976,179.932,12.031,12.0
