Settings: CF1.4, wheel circumference:2.092, Crr:0.0025, eta:0.98, DMon: 0, use fixed inclination:1, inclination value: 0.0, use measured inclination:0, isPrestonPark: 0, VS enabled:0
Lap,Time (s),Distance (m),Air Speed (kph),Power (W),Rider CdA (m²),Total CdA (m²),Total CdA_instant
1,22.79,251.1,40.52,294.1,0.277,0.24,0.242
2,20.59,248.3,44.2,304.0,0.177,0.228,0.229
3,20.59,249.6,44.28,284.5,0.172,0.232,0.233
4,20.59,249.8,44.12,287.4,0.178,0.232,0.233
5,20.39,250.6,44.22,296.6,0.173,0.227,0.228
6,20.59,251.5,44.24,283.5,0.17,0.237,0.237
7,20.39,250.4,44.0,293.5,0.168,0.237,0.239
8,20.39,251.1,44.5,304.4,0.166,0.233,0.233
9,20.39,249.3,44.25,287.1,0.159,0.237,0.238
10,20.19,248.5,44.33,300.7,0.158,0.232,0.233
11,20.19,250.6,44.54,283.0,0.139,0.235,0.236
12,30.64,245.8,30.05,36.6,1.522,0.452,0.674
