Settings: CF1.4, wheel circumference:2.092, Crr:0.0025, eta:0.98, DMon: 0, use fixed inclination:1, inclination value: 0.0, use measured inclination:0, isPrestonPark: 0, VS enabled:0
Lap,Time (s),Distance (m),Air Speed (kph),Power (W),Rider CdA (m²),Total CdA (m²),Total CdA_instant
1,21.19,258.1,42.49,282.3,0.186,0.222,0.226
2,20.79,249.9,43.19,275.1,0.176,0.237,0.237
3,20.79,255.2,43.34,271.6,0.17,0.232,0.231
4,20.59,253.0,43.29,279.8,0.176,0.235,0.235
5,20.59,254.2,43.43,288.5,0.175,0.231,0.232
6,20.39,255.5,43.73,277.6,0.164,0.24,0.241
7,20.39,248.0,43.5,267.7,0.155,0.22,0.213
8,20.59,254.0,43.39,282.4,0.158,0.243,0.247
9,20.39,249.6,43.77,285.8,0.15,0.231,0.223
10,20.59,253.0,43.49,270.5,0.151,0.25,0.253
11,21.19,250.6,31.61,189.0,0.186,0.238,0.287
12,20.99,252.3,27.58,210.1,0.29,0.399,0.452
13,19.79,250.8,28.17,237.3,0.319,0.348,0.389
14,19.19,249.8,26.69,222.1,0.361,0.403,0.442
15,19.19,254.4,27.78,214.8,0.29,0.376,0.44
16,19.19,252.9,30.32,237.8,0.286,0.344,0.403
17,18.99,254.6,28.6,227.9,0.347,0.377,0.438
18,18.99,250.1,29.24,227.6,0.339,0.355,0.402
19,18.99,252.4,32.92,254.0,0.247,0.296,0.345
20,18.79,249.0,33.56,238.8,0.263,0.292,0.337
21,18.99,251.9,34.26,253.6,0.255,0.277,0.348
22,18.59,249.4,33.91,259.6,0.27,0.31,0.37
23,26.85,251.7,34.39,48.4,1.284,0.399,0.617
