Settings: CF1.4, wheel circumference:2.092, Crr:0.0025, eta:0.98, DMon: 0, use fixed inclination:1, inclination value: 0.0, use measured inclination:0, isPrestonPark: 0, VS enabled:0
Lap,Time (s),Distance (m),Air Speed (kph),Power (W),Rider CdA (m²),Total CdA (m²),Total CdA_instant
1,23.59,252.2,38.88,266.2,0.2,0.24,0.239
2,21.79,252.5,41.79,269.0,0.196,0.237,0.237
3,20.99,250.0,42.64,279.2,0.19,0.243,0.244
4,21.19,251.0,42.72,267.6,0.177,0.241,0.241
5,21.19,251.7,42.33,259.3,0.172,0.237,0.238
6,21.19,255.6,42.19,262.9,0.175,0.242,0.242
7,20.99,250.5,42.4,273.7,0.17,0.239,0.239
8,20.99,254.6,42.68,267.5,0.158,0.238,0.241
9,20.99,253.1,42.41,262.9,0.153,0.243,0.242
10,20.99,253.1,42.44,266.8,0.161,0.24,0.241
11,21.19,252.5,42.24,263.0,0.159,0.245,0.245
12,21.39,248.1,41.35,223.9,0.15,0.237,0.238
13,21.99,249.1,40.32,231.5,0.156,0.244,0.245
14,21.99,259.1,40.67,246.5,0.165,0.241,0.242
15,21.59,250.3,40.94,242.4,0.168,0.238,0.239
16,21.59,254.8,41.42,252.9,0.159,0.237,0.238
17,21.39,253.1,41.43,249.3,0.16,0.243,0.243
18,21.39,249.6,41.59,252.3,0.157,0.239,0.239
19,21.19,253.6,41.94,265.3,0.164,0.236,0.237
20,20.79,251.1,42.79,277.4,0.159,0.241,0.242
21,20.59,252.0,42.95,270.4,0.166,0.227,0.231
22,20.59,251.7,43.29,281.3,0.167,0.231,0.233
23,20.79,251.7,43.26,273.3,0.147,0.234,0.235
24,20.59,255.0,43.1,268.2,0.161,0.2,0.225
25,20.59,253.5,43.24,281.8,0.156,0.242,0.244
26,20.19,250.9,44.02,291.4,0.146,0.23,0.23
27,20.39,251.1,44.0,287.9,0.15,0.234,0.235
28,20.19,253.1,44.08,283.6,0.152,0.226,0.227
29,20.19,249.7,44.24,291.6,0.148,0.236,0.238
30,23.99,250.1,36.49,83.9,0.671,0.265,0.279
31,33.4,244.9,24.39,32.0,2.531,0.377,0.435
