Settings: CF1.4, wheel circumference:2.092, Crr:0.0025, eta:0.98, DMon: 0, use fixed inclination:1, inclination value: 0.0, use measured inclination:0, isPrestonPark: 0, VS enabled:0
Lap,Time (s),Distance (m),Air Speed (kph),Power (W),Rider CdA (m²),Total CdA (m²),Total CdA_instant
1,22.39,252.2,40.76,317.2,0.197,0.246,0.247
2,20.99,250.9,43.03,283.0,0.172,0.247,0.247
3,21.19,252.1,42.65,276.3,0.161,0.249,0.249
4,21.39,254.5,42.21,271.5,0.165,0.256,0.257
5,21.19,251.4,42.43,274.4,0.163,0.251,0.249
6,21.19,253.8,42.43,278.2,0.17,0.24,0.244
7,20.99,247.8,42.51,270.3,0.165,0.251,0.251
8,21.19,258.8,42.48,278.2,0.161,0.234,0.244
9,20.99,250.8,42.6,274.8,0.16,0.245,0.246
10,20.79,253.0,43.01,287.6,0.158,0.238,0.241
11,20.79,254.4,43.26,276.0,0.149,0.246,0.255
