Settings: CF1.4, wheel circumference:2.092, Crr:0.0025, eta:0.98, DMon: 0, use fixed inclination:1, inclination value: 0.0, use measured inclination:0, isPrestonPark: 0, VS enabled:0
Lap,Time (s),Distance (m),Air Speed (kph),Power (W),Rider CdA (m²),Total CdA (m²),Total CdA_instant
1,22.79,250.4,39.92,275.7,0.207,0.252,0.255
2,21.59,248.8,41.64,270.0,0.187,0.251,0.251
3,21.39,251.5,42.28,293.3,0.191,0.25,0.25
4,20.79,248.2,42.97,282.0,0.172,0.251,0.252
5,20.99,248.7,42.65,268.7,0.17,0.244,0.245
6,20.99,249.3,42.72,280.2,0.165,0.245,0.245
7,20.99,249.9,42.82,276.5,0.159,0.245,0.245
8,20.99,249.8,42.83,275.8,0.167,0.245,0.246
9,20.99,249.5,42.69,281.0,0.163,0.245,0.245
10,20.79,249.7,43.16,282.3,0.161,0.24,0.242
11,20.79,248.7,42.86,271.4,0.16,0.247,0.25
12,31.09,244.8,29.05,31.7,1.833,0.444,0.618
